stimulus_presentation_id,start_time,stop_time,stimulus_name,stimulus_block,temporal_frequency,color,mask,opacity,phase,size,units,stimulus_index,orientation,spatial_frequency,contrast,tags,timeseries,stimulus_duration,replicate_id,analysis_window_start_relative,analysis_window_end_relative
33,3590.925881637856,3592.927531637856,drifting_gratings_75_repeats,5,2,"[1.0, 1.0, 1.0]",,1,"[14037.96666667, 14037.96666667]","[250.0, 250.0]",deg,2,0,0.04,0.8,['stimulus_time_interval'],"[TimeSeriesReference(idx_start=np.int32(40372), count=np.int32(1), timeseries=timestamps pynwb.base.TimeSeries at 0x1599479992336
Fields:
  comments: no comments
  conversion: 1.0
  data: <HDF5 dataset ""data"": shape (77361,), type ""<f8"">
  description: no description
  interval: 1
  offset: 0.0
  resolution: -1.0
  timestamps: <HDF5 dataset ""timestamps"": shape (77361,), type ""<f8"">
  timestamps_unit: seconds
  unit: s
)]",2.001649999999245,1,0,2
36,3599.933368168179,3601.935018168179,drifting_gratings_75_repeats,5,2,"[1.0, 1.0, 1.0]",,1,"[14037.96666667, 14037.96666667]","[250.0, 250.0]",deg,2,0,0.04,0.8,['stimulus_time_interval'],"[TimeSeriesReference(idx_start=np.int32(40375), count=np.int32(1), timeseries=timestamps pynwb.base.TimeSeries at 0x1599479992336
Fields:
  comments: no comments
  conversion: 1.0
  data: <HDF5 dataset ""data"": shape (77361,), type ""<f8"">
  description: no description
  interval: 1
  offset: 0.0
  resolution: -1.0
  timestamps: <HDF5 dataset ""timestamps"": shape (77361,), type ""<f8"">
  timestamps_unit: seconds
  unit: s
)]",2.001650000000154,2,0,2
46,3629.958478168177,3631.960198168179,drifting_gratings_75_repeats,5,2,"[1.0, 1.0, 1.0]",,1,"[14037.96666667, 14037.96666667]","[250.0, 250.0]",deg,2,0,0.04,0.8,['stimulus_time_interval'],"[TimeSeriesReference(idx_start=np.int32(40385), count=np.int32(1), timeseries=timestamps pynwb.base.TimeSeries at 0x1599479992336
Fields:
  comments: no comments
  conversion: 1.0
  data: <HDF5 dataset ""data"": shape (77361,), type ""<f8"">
  description: no description
  interval: 1
  offset: 0.0
  resolution: -1.0
  timestamps: <HDF5 dataset ""timestamps"": shape (77361,), type ""<f8"">
  timestamps_unit: seconds
  unit: s
)]",2.001720000001114,3,0,2
53,3650.976061637856,3652.977731637856,drifting_gratings_75_repeats,5,2,"[1.0, 1.0, 1.0]",,1,"[14037.96666667, 14037.96666667]","[250.0, 250.0]",deg,2,0,0.04,0.8,['stimulus_time_interval'],"[TimeSeriesReference(idx_start=np.int32(40392), count=np.int32(1), timeseries=timestamps pynwb.base.TimeSeries at 0x1599479992336
Fields:
  comments: no comments
  conversion: 1.0
  data: <HDF5 dataset ""data"": shape (77361,), type ""<f8"">
  description: no description
  interval: 1
  offset: 0.0
  resolution: -1.0
  timestamps: <HDF5 dataset ""timestamps"": shape (77361,), type ""<f8"">
  timestamps_unit: seconds
  unit: s
)]",2.001670000000104,4,0,2
55,3656.981071637857,3658.982751637856,drifting_gratings_75_repeats,5,2,"[1.0, 1.0, 1.0]",,1,"[14037.96666667, 14037.96666667]","[250.0, 250.0]",deg,2,0,0.04,0.8,['stimulus_time_interval'],"[TimeSeriesReference(idx_start=np.int32(40394), count=np.int32(1), timeseries=timestamps pynwb.base.TimeSeries at 0x1599479992336
Fields:
  comments: no comments
  conversion: 1.0
  data: <HDF5 dataset ""data"": shape (77361,), type ""<f8"">
  description: no description
  interval: 1
  offset: 0.0
  resolution: -1.0
  timestamps: <HDF5 dataset ""timestamps"": shape (77361,), type ""<f8"">
  timestamps_unit: seconds
  unit: s
)]",2.001679999998942,5,0,2
79,3729.041301637856,3731.042981637856,drifting_gratings_75_repeats,5,2,"[1.0, 1.0, 1.0]",,1,"[14037.96666667, 14037.96666667]","[250.0, 250.0]",deg,2,0,0.04,0.8,['stimulus_time_interval'],"[TimeSeriesReference(idx_start=np.int32(40418), count=np.int32(1), timeseries=timestamps pynwb.base.TimeSeries at 0x1599479992336
Fields:
  comments: no comments
  conversion: 1.0
  data: <HDF5 dataset ""data"": shape (77361,), type ""<f8"">
  description: no description
  interval: 1
  offset: 0.0
  resolution: -1.0
  timestamps: <HDF5 dataset ""timestamps"": shape (77361,), type ""<f8"">
  timestamps_unit: seconds
  unit: s
)]",2.001680000000306,6,0,2
95,3777.081451637856,3779.083131637856,drifting_gratings_75_repeats,5,2,"[1.0, 1.0, 1.0]",,1,"[14037.96666667, 14037.96666667]","[250.0, 250.0]",deg,2,0,0.04,0.8,['stimulus_time_interval'],"[TimeSeriesReference(idx_start=np.int32(40434), count=np.int32(1), timeseries=timestamps pynwb.base.TimeSeries at 0x1599479992336
Fields:
  comments: no comments
  conversion: 1.0
  data: <HDF5 dataset ""data"": shape (77361,), type ""<f8"">
  description: no description
  interval: 1
  offset: 0.0
  resolution: -1.0
  timestamps: <HDF5 dataset ""timestamps"": shape (77361,), type ""<f8"">
  timestamps_unit: seconds
  unit: s
)]",2.001679999999851,7,0,2
96,3780.083968168179,3782.085628168179,drifting_gratings_75_repeats,5,2,"[1.0, 1.0, 1.0]",,1,"[14037.96666667, 14037.96666667]","[250.0, 250.0]",deg,2,0,0.04,0.8,['stimulus_time_interval'],"[TimeSeriesReference(idx_start=np.int32(40435), count=np.int32(1), timeseries=timestamps pynwb.base.TimeSeries at 0x1599479992336
Fields:
  comments: no comments
  conversion: 1.0
  data: <HDF5 dataset ""data"": shape (77361,), type ""<f8"">
  description: no description
  interval: 1
  offset: 0.0
  resolution: -1.0
  timestamps: <HDF5 dataset ""timestamps"": shape (77361,), type ""<f8"">
  timestamps_unit: seconds
  unit: s
)]",2.001659999999902,8,0,2
108,3816.114118168177,3818.115748168179,drifting_gratings_75_repeats,5,2,"[1.0, 1.0, 1.0]",,1,"[14037.96666667, 14037.96666667]","[250.0, 250.0]",deg,2,0,0.04,0.8,['stimulus_time_interval'],"[TimeSeriesReference(idx_start=np.int32(40447), count=np.int32(1), timeseries=timestamps pynwb.base.TimeSeries at 0x1599479992336
Fields:
  comments: no comments
  conversion: 1.0
  data: <HDF5 dataset ""data"": shape (77361,), type ""<f8"">
  description: no description
  interval: 1
  offset: 0.0
  resolution: -1.0
  timestamps: <HDF5 dataset ""timestamps"": shape (77361,), type ""<f8"">
  timestamps_unit: seconds
  unit: s
)]",2.001630000001569,9,0,2
119,3849.141691637856,3851.143361637856,drifting_gratings_75_repeats,5,2,"[1.0, 1.0, 1.0]",,1,"[14037.96666667, 14037.96666667]","[250.0, 250.0]",deg,2,0,0.04,0.8,['stimulus_time_interval'],"[TimeSeriesReference(idx_start=np.int32(40458), count=np.int32(1), timeseries=timestamps pynwb.base.TimeSeries at 0x1599479992336
Fields:
  comments: no comments
  conversion: 1.0
  data: <HDF5 dataset ""data"": shape (77361,), type ""<f8"">
  description: no description
  interval: 1
  offset: 0.0
  resolution: -1.0
  timestamps: <HDF5 dataset ""timestamps"": shape (77361,), type ""<f8"">
  timestamps_unit: seconds
  unit: s
)]",2.001670000000104,10,0,2
