"","VISp-VISl","VISp-VISrl","VISp-VISal","VISp-VISam","VISl-VISrl","VISl-VISal","VISl-VISam","VISrl-VISal","VISrl-VISam","VISal-VISam"
"VISp-VISl",1,0.99852734184576,0.998461073780153,0.998635942904266,0.999413137896688,0.9997168165299,0.998527745866244,0.997998687000872,0.99863308103561,0.996005204029283
"VISp-VISrl",0.99852734184576,1,0.996656506301333,0.996835971061912,0.99855234155425,0.998125210187793,0.995080872761094,0.998147217611457,0.999181638509785,0.992942903901943
"VISp-VISal",0.998461073780153,0.996656506301333,1,0.999518777806833,0.9985924913166,0.998810721127456,0.999069311375091,0.998577286260341,0.998293813466304,0.999095720711023
"VISp-VISam",0.998635942904266,0.996835971061912,0.999518777806833,1,0.998566330446237,0.999098595236282,0.998844007898926,0.998691811886547,0.998622214721844,0.998784531260274
"VISl-VISrl",0.999413137896688,0.99855234155425,0.9985924913166,0.998566330446237,1,0.99956711815624,0.99834934251272,0.998900450106527,0.998787760325502,0.996202003800344
"VISl-VISal",0.9997168165299,0.998125210187793,0.998810721127456,0.999098595236282,0.99956711815624,1,0.998791361060616,0.998512958513341,0.998583709640946,0.996691464795728
"VISl-VISam",0.998527745866244,0.995080872761094,0.999069311375091,0.998844007898926,0.99834934251272,0.998791361060616,1,0.997288332950727,0.996887842700909,0.998416006742872
"VISrl-VISal",0.997998687000872,0.998147217611457,0.998577286260341,0.998691811886547,0.998900450106527,0.998512958513341,0.997288332950727,1,0.999231147397236,0.996650424148507
"VISrl-VISam",0.99863308103561,0.999181638509785,0.998293813466304,0.998622214721844,0.998787760325502,0.998583709640946,0.996887842700909,0.999231147397236,1,0.996061473193399
"VISal-VISam",0.996005204029283,0.992942903901943,0.999095720711023,0.998784531260274,0.996202003800344,0.996691464795728,0.998416006742872,0.996650424148507,0.996061473193399,1
