"","VISp-VISl","VISp-VISrl","VISp-VISal","VISp-VISam","VISl-VISrl","VISl-VISal","VISl-VISam","VISrl-VISal","VISrl-VISam","VISal-VISam"
"VISp-VISl",1,0.997257570325788,0.996158381376042,0.994303563073331,0.998457635869021,0.99958472556052,0.998908579619954,0.998127452680592,0.997243726112299,0.994826848936796
"VISp-VISrl",0.997257570325788,1,0.990810245627091,0.985838061969269,0.999452659106033,0.997855298493809,0.993738315888389,0.99900416473676,0.999044118804073,0.987455589145063
"VISp-VISal",0.996158381376042,0.990810245627091,1,0.998687894360337,0.992164665302681,0.996439125654417,0.998342322623381,0.992663314992618,0.99321702685223,0.999337824625463
"VISp-VISam",0.994303563073331,0.985838061969269,0.998687894360337,1,0.988130542149689,0.993681846521795,0.997575716481017,0.988223511570115,0.988277050363521,0.999575491854194
"VISl-VISrl",0.998457635869021,0.999452659106033,0.992164665302681,0.988130542149689,1,0.998595157663312,0.995573568196124,0.999158941514986,0.998702822923404,0.989542796787527
"VISl-VISal",0.99958472556052,0.997855298493809,0.996439125654417,0.993681846521795,0.998595157663312,1,0.998635176563645,0.998294560443758,0.998525525091661,0.994785702432338
"VISl-VISam",0.998908579619954,0.993738315888389,0.998342322623381,0.997575716481017,0.995573568196124,0.998635176563645,1,0.99521885445369,0.995227633247427,0.997961543418365
"VISrl-VISal",0.998127452680592,0.99900416473676,0.992663314992618,0.988223511570115,0.999158941514986,0.998294560443758,0.99521885445369,1,0.998019617692007,0.989561308831482
"VISrl-VISam",0.997243726112299,0.999044118804073,0.99321702685223,0.988277050363521,0.998702822923404,0.998525525091661,0.995227633247427,0.998019617692007,1,0.990414958005487
"VISal-VISam",0.994826848936796,0.987455589145063,0.999337824625463,0.999575491854194,0.989542796787527,0.994785702432338,0.997961543418365,0.989561308831482,0.990414958005487,1
