"replicate_id","VISp","VISl","VISrl","VISal","VISam","stimulus_block","start_time"
1,500,306,743,564,518,5,3590.92588163786
2,451,300,680,544,502,5,3599.93336816818
3,451,301,643,525,498,5,3629.95847816818
4,489,287,708,501,389,5,3650.97606163786
5,457,305,693,517,538,5,3656.98107163786
6,729,387,861,802,970,5,3729.04130163786
7,598,356,842,696,602,5,3777.08145163786
8,470,318,736,595,445,5,3780.08396816818
9,708,399,913,726,762,5,3816.11411816818
10,710,507,859,764,835,5,3849.14169163786
11,546,377,768,677,619,5,3867.15674163786
12,426,335,756,674,484,5,3879.16679163786
13,532,357,711,619,741,5,3909.19188163786
14,411,311,703,611,434,5,3912.19441816818
15,427,299,713,662,566,5,3939.21698163786
16,422,317,657,570,570,5,3942.21951816818
17,494,389,709,651,710,5,3957.23204163786
18,364,318,600,529,453,5,3984.25460816818
19,397,315,649,596,502,5,3987.25714163786
20,401,288,605,551,433,5,4047.30732163786
21,367,267,664,591,481,5,4074.32992816818
22,435,288,673,538,613,5,4101.35249163786
23,553,309,632,680,636,5,4134.38008816818
24,675,419,933,753,816,5,4170.41024816818
25,464,313,750,693,532,5,4194.43031816818
26,624,377,874,699,798,5,4209.44284163786
27,643,385,877,732,754,5,4212.44533816818
28,430,317,707,606,582,5,4239.46794163786
29,375,295,685,547,468,5,4248.47547816818
30,553,335,606,592,645,5,4332.54577816818
31,424,298,565,553,638,5,4347.55827163786
32,500,303,560,571,687,5,4359.56832163786
33,391,301,559,586,481,5,4383.58840163786
34,411,253,636,516,627,5,4386.59093816818
35,436,298,455,516,620,6,6206.11168816818
36,407,321,550,521,557,6,6215.11921163786
37,470,335,594,563,478,6,6224.12672816818
38,551,301,837,677,694,6,6257.15433163786
39,406,280,513,554,502,6,6302.19199816818
40,454,236,639,505,515,6,6314.20205816818
41,434,219,680,487,479,6,6323.20954163786
42,443,239,745,556,594,6,6329.21456163786
43,404,353,576,545,447,6,6350.23213816818
44,511,344,650,630,682,6,6365.24468163786
45,488,340,604,524,596,6,6380.25722816818
46,813,392,759,860,951,6,6383.25972163786
47,607,266,558,678,604,6,6386.26226816818
48,757,379,832,833,1043,6,6401.27479163786
49,557,238,723,533,623,6,6419.28985163786
50,377,307,569,519,535,6,6422.29239816818
51,334,185,668,404,512,6,6440.30741816818
52,450,243,516,607,605,6,6479.34004163786
53,296,293,571,558,443,6,6500.35760816818
54,337,252,489,528,575,6,6515.37015163786
55,388,226,565,491,552,6,6521.37518163786
56,417,293,631,602,498,6,6542.39272816818
57,444,176,514,498,557,6,6587.43039163786
58,447,300,525,574,590,6,6623.46050163786
59,411,240,609,557,641,6,6635.47053163786
60,591,292,662,740,805,6,6641.47557163786
61,448,302,608,580,722,6,6686.51321816818
62,715,380,839,607,680,6,6698.52322816818
63,621,347,666,670,739,6,6719.54081163786
64,530,298,658,522,588,6,6752.56841816818
65,746,334,842,739,776,6,6782.59353816818
66,522,266,578,529,647,6,6824.62869816818
67,448,171,677,472,501,6,6914.70393816818
68,421,199,573,504,594,6,6920.70895816818
69,601,367,868,578,606,6,6947.73154163786
70,477,286,662,588,539,6,6956.73906816818
71,535,287,643,602,632,6,6977.75663163786
72,413,234,630,539,456,6,6980.75916816818
73,496,190,641,550,599,6,7001.77672163786
74,597,187,705,493,796,6,7064.82940816818
75,560,208,657,536,797,6,7091.85200163786
