"scenario","metric","slope"
"balanced","EI1",-0.508143833559824
"balanced","EI2",-0.500241914699063
"balanced","EI3",-0.479711543200008
"balanced","ES",-0.518040893488772
"balanced","Ea",-0.487297231733133
"balanced","EetaS1",-0.528914341555519
"balanced","EetaS2",-0.529266470496992
"balanced","EmuS1",-0.534683665871569
"balanced","EmuS2",-0.508827010942807
"balanced","Etau",-0.515859453383751
"strong","EI1",-0.476815474412166
"strong","EI2",-0.495877846538306
"strong","EI3",-0.503392071390431
"strong","ES",-0.49973136187149
"strong","Ea",-0.522030245956036
"strong","EetaS1",-0.489261973111024
"strong","EetaS2",-0.498249466752193
"strong","EmuS1",-0.48625157491192
"strong","EmuS2",-0.48711621433076
"strong","Etau",-0.550180900439165
"weak","EI1",-0.493561539289314
"weak","EI2",-0.496077552551288
"weak","EI3",-0.511708158367174
"weak","ES",-0.524125969992634
"weak","Ea",-0.502778464763939
"weak","EetaS1",-0.468231033949131
"weak","EetaS2",-0.479482532680121
"weak","EmuS1",-0.466668449915673
"weak","EmuS2",-0.492547788487576
"weak","Etau",-0.556245697257374
