"Regime","n","EI_1","EI_2","EI_3"
"Weak",100,0.236087752074145,0.203143261265809,0.163313374517416
"Weak",250,0.1512727735279,0.117275148695287,0.0973486131230271
"Weak",500,0.10475327159535,0.090549797917921,0.0707543997365125
"Weak",1000,0.0764262920232286,0.0634343353682494,0.0498631134376175
"Balanced",100,0.25553826631428,0.214535822903359,0.172360882841291
"Balanced",250,0.163875402605856,0.136020268726499,0.105246817136495
"Balanced",500,0.117107674521269,0.0959920384490048,0.074653398534758
"Balanced",1000,0.0786652956299368,0.0678305653038114,0.0576565702513579
"Strong",100,0.283240797366662,0.250157606846342,0.200694523378779
"Strong",250,0.186165979505251,0.162115371495816,0.131450161007077
"Strong",500,0.131217564668474,0.111587113122517,0.0908660957728938
"Strong",1000,0.094984506144665,0.0805705882410231,0.0631973631788905
