"Regime","n","EetaI_1_1","EmuI_1_1","EetaI_2_1","EmuI_2_1","EetaI_3_1","EmuI_3_1","EetaI_1_2","EmuI_1_2","EetaI_2_2","EmuI_2_2","EetaI_3_2","EmuI_3_2"
"Weak",100,0.0815973721774664,0.0790672829701778,0.0730386700796305,0.0711017311460617,0.0632131313248889,0.0615140700104809,0.158030094739322,0.138172671170912,0.144822950438717,0.125132839573578,0.126020748257909,0.107441898219483
"Weak",250,0.0498970337630887,0.049283188809007,0.0428780978957716,0.0423169199260358,0.0371126519346629,0.0361367107280614,0.104446846493803,0.0925256640560636,0.0892166180571215,0.0757805022704419,0.0762756685179581,0.0664369251095046
"Weak",500,0.0330145283819746,0.0324645633226598,0.0306039063087987,0.0301140355092312,0.0277613644299835,0.0272718092464617,0.0696114449551549,0.0609671148174459,0.0630695411219539,0.0528679426856312,0.0543226595283111,0.0462679680414538
"Weak",1000,0.0241849739903394,0.0237415648627116,0.0202436577738216,0.019934485677805,0.0182063134493664,0.0178895347266063,0.0525358979677909,0.0462788356485618,0.0434585291409929,0.0370290000386203,0.0359955448263348,0.0321198714316781
"Balanced",100,0.102144412569103,0.0999857983068005,0.0870495249822251,0.0847763900518426,0.0728991859832687,0.0710725911587197,0.224912234093985,0.192577685179413,0.193778781185584,0.166264990319781,0.159550683796869,0.139380409413255
"Balanced",250,0.0567486718000876,0.0554158290240418,0.0489799827548477,0.0481440809453262,0.0443032752908026,0.0430346861650496,0.145865584359535,0.128773964176704,0.111609589903104,0.100186907224447,0.0998027660814514,0.086206509694722
"Balanced",500,0.0406578310244664,0.0395745899229484,0.0361676332219876,0.0353427842205166,0.0321224113109768,0.0315887063534521,0.0985164656017111,0.0905377877827022,0.0844083664911179,0.0751462457279835,0.0681666186715493,0.0568918947843371
"Balanced",1000,0.0282581351955282,0.0277108574374574,0.0257391753600813,0.0250247521988424,0.0214576250441984,0.0210166435778141,0.0666363306150415,0.0602858464660633,0.0606143162812306,0.0532252248799834,0.0469009150880286,0.0412128105168922
"Strong",100,0.116263007998497,0.113788008827262,0.108076430160562,0.105912550806777,0.0881125329495909,0.0857276988795427,0.321094863664143,0.291024968692624,0.274966570993262,0.241928063010031,0.229911082694145,0.206958689250853
"Strong",250,0.0738844699602167,0.0716859231127034,0.0609234500426088,0.0596399229250401,0.0570383087563019,0.0555461271550299,0.205126308599266,0.184691825731471,0.167088041177229,0.146891434752336,0.139630027261437,0.126413242476243
"Strong",500,0.0500695660824124,0.0485822688910457,0.0475632644618469,0.0461673031004472,0.0393006947744665,0.0387890432222239,0.145351901909328,0.128395272906219,0.116523399803389,0.105951297492537,0.0949310090023598,0.0838164252565937
"Strong",1000,0.0386363392266114,0.0374353052564758,0.0333782511745693,0.0325033856778323,0.0271512408314007,0.0262451295807298,0.0992504026851255,0.0877950632935936,0.0784715858892021,0.0708324387995205,0.0660658751389831,0.0581709618575795
